104|Fselect|https://github.com/jhspetersson/fselect|Searches for files with SQL querys|fselect|search|files|2021-08-07 22:08:17
105|Navi|https://github.com/denisidoro/navi|An interactive cheatsheet tool for the command-line.|navi|cheatsheet|cheatsheets|2021-08-07 22:42:37
106|How2|https://github.com/santinic/how2|Queries Stack Overflow from our question in natural language. All in cli,|how2|questions|queries|2021-08-07 22:53:13
107|hr|https://github.com/LuRsT/hr/wiki|Creates an horizontal line in terminal|hr|line|lines|2021-08-07 23:03:13
108|k|https://github.com/supercrabtree/k|Directory listings for zsh with git features|k|git|repos|2021-08-07 23:46:19
109|Loop|https://github.com/Miserlou/Loop|Loops for the shell|loop|loops|shell|2021-08-07 23:59:13
110|Marker|https://github.com/pindexis/marker|Bookmarks Shell Commands|marker|bookmarks|bookmark|2021-08-08 00:28:17
111|SHML|https://odb.github.io/shml/getting-started/|Shell Markup Language|shml|markup|shell|2021-08-08 00:54:01
112|add-gitignore|https://github.com/TejasQ/add-gitignore|Adds gitignore files to projects|add-gitignore|gitignore|git|2021-08-08 01:31:26
113|Visualize Python Code|http://www.pythontutor.com/visualize.html#mode=edit|A visualizer for Python code|visualizer|python|web|2021-08-08 06:02:17
114|Requests|https://docs.python-requests.org/en/master/|Python HTTP library|requests|http|python|2021-08-08 10:42:29
115|Scrapy|https://docs.scrapy.org|Python Web Scraper|scrapy|scraper|python|2021-08-08 10:43:57
116|pycrumbs|https://github.com/kirang89/pycrumbs|List of interesting links for Python.\
|pycrumbs|python|awesome|2021-08-09 23:12:02
117|awesome-awesomeness|https://github.com/bayandin/awesome-awesomeness|A list of awesome lists|awesome|lists|awesome lists|2021-08-09 23:13:45
118|codementor|https://www.codementor.io|Site with cool python projects to do|codementor|python|projects|2021-08-09 23:19:32
119|Using Scrapy for Python|https://www.datacamp.com/community/tutorials/making-web-crawlers-scrapy-python|Good tutorial on Scrapy|scrapy|python|crawler|2021-08-11 02:34:59
123|Pytermgui|TUI framework for your Python|https://github.com/bczsalba/pytermgui|pytermgui|cli|python|2021-08-13 09:42:34
146|Ripgrep|ripgrep manpage|https://www.mankier.com/1/rg|ripgrep|rg|grep|2021-08-13 17:08:58
147|Python Projects|Cool Python projects.|https://github.com/karan/Projects#data-structures|projects|python|project|2021-08-13 20:03:51
148|Spell Check in Vim|https://www.linux.com/training-tutorials/using-spell-checking-vim/|Spell tool native to Vim|vim|spell|spelling|2021-08-21 00:03:34
149|Python Like You mean It|Python Like You Mean It (PLYMI) is a free resource for learning the basics of Python & NumPy|https://www.pythonlikeyoumeanit.com/index.html|python|numpy|learning|2021-08-21 00:35:05
153|Special HTML characters and codes|Some characters in HTML require special codes|https://www.computerhope.com/spechtm.htm|html|characters|character codes|2021-08-21 05:39:22
154|Google Style Guide|Has an interesting definition of docstrings in python|https://github.com/google/styleguide/blob/gh-pages/pyguide.md#doc-function-args|google|docstring|documentation|2021-08-21 15:33:37
155|Orator|Very pretty ORM that I would like to study later on.|https://orator-orm.com|orator|orm|databases|2021-08-22 13:04:24
156|Sed Documentation|Documentation for Sed. A bit sparse|https://www.gnu.org/software/sed/manual/sed.html#sed-commands-list|sed|documentation|text|2021-08-27 02:08:14
157|What characters to escape in Sed|Characters that need escaping in Sed|https://tinyurl.com/y49uo42g|sed|escaping|text|2021-08-27 16:57:01
158|Loop through file in Bash|How to use a loop in Bash|https://codefather.tech/blog/bash-loop-through-lines-file/|bash|script|loop|2021-08-27 20:21:10
159|50 Sed Commands|Commands for Sed|https://linuxhint.com/50_sed_command_examples/#s9|sed|bash|scripts|2021-08-27 20:23:14
160|Grep, Awk and Sed|Intro to the three tools|https://tinyurl.com/yby62ljv|grep|awk|sed|2021-08-28 05:16:06
161|Sed Documentation|GNU's Sed documentation|https://www.gnu.org/software/sed/manual/html_node/|sed|bash|text|2021-08-28 16:02:16
162|Regex101|Online Regex editor with some internesting features|https://regex101.com|regex|sed|bash|2021-08-28 16:07:24
163|One Liners for Sed|GNU's collection of Sed short scripts|http://sed.sourceforge.net/sed1line.txt|sed|bash|text|2021-08-28 16:13:03
164|Sed Cheatsheet|A cheatsheet for Sed|https://anaturb.net/sed.htm|sed|cheatsheet|bash|2021-08-28 16:15:35
165|Regular Expressions Tutorial|Tutorial on Regexp|https://www.grymoire.com/Unix/Regular.html|regexp|regular expressions|sed|2021-08-28 16:19:32
166|XML Parsing|Parsing XML, for such things as svg images|http://www2.hawaii.edu/~takebaya/cent110/xml_parse/xml_parse.html|xml|beautiful sopup|zsh|2021-08-28 23:54:28
167|List of typographical symbols and punctuation marks|This is a list of the most common typographical symbols and punctuation marks used with Latin script. |https://tinyurl.com/yztjl74a|punctuation|symbols|typography|2021-08-31 11:23:09
168|Project Learn|Project based tutorials for web development|https://projectlearn.io|projectlearn|projects|tutorial|2021-09-02 11:39:00
169|Logo-ls|modern ls command with beautiful Icons and Git Integrations .|https://github.com/Yash-Handa/logo-ls|logo-ls|ls|files|2021-09-04 00:44:23
170|FuzzyWuzzy|Fuzzy string matching like a boss. It uses Levenshtein Distance to calculate the differences|https://github.com/seatgeek/fuzzywuzzy|fuzzywuzzy|strings|matching|2021-09-04 18:39:19
171|FuzzyWuzzy Tutorial|Tutorial on FuzzyWuzzy|https://www.datacamp.com/community/tutorials/fuzzy-string-python|fuzzywuzzy|tutorial|strings|2021-09-04 18:40:35
172|Clipmenu|Clipboard manager that I intend to use as a scratchpad|https://github.com/cdown/clipmenu|clipmenu|clipboard|scratchpad|2021-09-04 20:58:57
173|Import Python Files From Another Directory|Import Python Files From Another Directory|https://gist.github.com/MRobertEvers/55a989b4883ea8d7715d2e156627f034|python|import|imports|2021-09-18 10:52:16
174|Zettelkasten Method|Introduction to the Zettelkasten Method|https://zettelkasten.de/introduction/|zettelkasten|notes|note|2021-09-18 10:53:27
175|Bat|Cat substitute|https://www.cyberciti.biz/open-source/bat-linux-command-a-cat-clone-with-written-in-rust/|bat|cat|bash|2021-09-29 09:35:24
176|Deploy Ruby App in Linux Server|How to deploy a ruby site|https://tinyurl.com/ygbbasyt|ruby|rails|servers|2021-10-22 00:42:12
177|LocalTunnel|Allows outside access at localhost environment|https://localtunnel.github.io/www/|localtunnel|tunnel|localhost|2021-10-22 17:52:32
178|Sqlitebiter|Cli tool to turn tabular files in sqlite db's|https://sqlitebiter.readthedocs.io/en/latest/pages/usage/file/index.html|sqlitebiter|sqlite|csv|2021-10-23 00:34:59
